,id,asin,title,price,original_price,currency,star_rating,num_ratings,url,photo,num_offers,minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,sales_volume_in_past_month,delivery,has_variations,coupon_text,unit_price,unit_count,availability
69,69,B0D9MJXGL2,"Shipping Label Printer, Bluetooth Thermal Label Printer 4x6 for Shipping Packages, Support Windows, Mac, iOS, iPhone, Android, Used for Amazon, Ebay, Shopify, Etsy, UPS, USPS",59.99,,USD,4.6,60,https://www.amazon.com/dp/B0D9MJXGL2,https://m.media-amazon.com/images/I/71Vb29oolPL._AC_UL960_FMwebp_QL65_.jpg,1,59.99,False,False,True,False,50.0,"FREE delivery Wed, Jul 31 Or fastest delivery Mon, Jul 29",False,Save $20.00 with coupon,,,
70,70,B0D8J5W2CJ,"MYMAHDI MP3 Player with Bluetooth and WiFi Up to 512GB,4&quot; Music player Touch Screen with YouTube,Spotify, Pandora, Android Streaming MP3 Player with Audible,",46.66,56.66,USD,5.0,1,https://www.amazon.com/dp/B0D8J5W2CJ,https://m.media-amazon.com/images/I/61Co8Lo0UNL._AC_UL960_FMwebp_QL65_.jpg,1,46.66,False,False,True,False,100.0,"FREE delivery Wed, Jul 31 Or fastest delivery Mon, Jul 29",False,,,,
71,71,B0D5DPFTPB,"Jabra Elite 8 Active Gen 2 Bluetooth Wireless Earbuds with Dolby Audio Spatial Sound - Advanced Workout Waterproof Headphones with Noise Cancelling, Military Grade with Smart Case - Black",229.99,,USD,5.0,2,https://www.amazon.com/dp/B0D5DPFTPB,https://m.media-amazon.com/images/I/71XiEfe2IUL._AC_UL960_FMwebp_QL65_.jpg,2,220.79,False,False,True,False,400.0,"FREE delivery Wed, Jul 31 Or fastest delivery Mon, Jul 29",False,,,,
72,72,B0D7367688,"3+2 Pack Galaxy S21 Ultra Tempered Glass Screen Protector and HD Camera Lens Protector with Bubble-Free Installation, 9H Hardness, Ultrasonic Fingerprint Support, For Galaxy S21 Ultra 6.8 Inch",12.99,,USD,4.2,582,https://www.amazon.com/dp/B0D7367688,https://m.media-amazon.com/images/I/61Ny95V8l0L._AC_UL960_FMwebp_QL65_.jpg,1,12.99,False,False,True,False,100.0,"FREE delivery Fri, Aug 2 on $35 of items shipped by AmazonOr fastest delivery Mon, Jul 29",False,,,,
73,73,B0D4QCRS7S,USB C Hub Multiport Adapter for MacBook Pro Air: KIROSA 9 in 1 USB C to 4K HDMI Hub Dongle with 100W PD USB3.0 - Portable USBC Hub Compatible with Laptops and Other Type C Devices,10.99,,USD,4.5,24,https://www.amazon.com/dp/B0D4QCRS7S,https://m.media-amazon.com/images/I/61FdyqXDjQL._AC_UL960_FMwebp_QL65_.jpg,1,10.99,False,False,True,False,500.0,"FREE delivery Wed, Jul 31 on $35 of items shipped by AmazonOr fastest delivery Mon, Jul 29",False,Save 5% with coupon,,,
74,74,B0D9H7ZHW6,"Wired Earbuds 4 Pack, Earbuds HiFi Stereo Wired Earphones Headphones with Microphone Volume Control Compatible with iPad, Laptop, MP3, Android Smartphones, Fits All 3.5mm Jack Device",9.99,,USD,5.0,1,https://www.amazon.com/dp/B0D9H7ZHW6,https://m.media-amazon.com/images/I/61Bn5nEM+2L._AC_UL960_FMwebp_QL65_.jpg,1,9.99,False,False,True,False,200.0,"FREE delivery Wed, Jul 31 on $35 of items shipped by AmazonOr fastest delivery Mon, Jul 29",False,,,,
75,75,B0D92B5783,"Bluetooth Thermal Label Printer - Clear Print Quality, Portable printer Wireless Shipping Label Printer Easy to Connect, Use to Print Shipping Labels, Compatible with Amazon Shopify eBay Ups",59.99,,USD,5.0,4,https://www.amazon.com/dp/B0D92B5783,https://m.media-amazon.com/images/I/71jbr-j2n4L._AC_UL960_FMwebp_QL65_.jpg,1,59.99,False,False,True,False,100.0,"FREE delivery Wed, Jul 31 Or fastest delivery Mon, Jul 29",False,,,,
76,76,B0D7MPTDH1,"Wireless Earpiece noise cancelling, flexible ear loop design, single ear Bluetooth earphones LED charging case, 72 Hours Talking Time Microphone Headset for iOS Android, driving/business Headphones",39.99,,USD,5.0,22,https://www.amazon.com/dp/B0D7MPTDH1,https://m.media-amazon.com/images/I/51gzNbUZdVL._AC_UL960_FMwebp_QL65_.jpg,1,39.99,False,False,True,False,50.0,"FREE delivery Wed, Jul 31 Or fastest delivery Mon, Jul 29",False,Save 30% with coupon,,,
77,77,B0D4XZWYZ5,"Screen Cleaner Spray 16oz (4oz x 4 Pack) - TV Screen Cleaner Spray and 2 Microfiber Cloths, Computer Screen Cleaner &amp; Car Screen Cleaner for TV, Monitor, Laptop, MacBook, iPad and Electronic Devices",9.99,,USD,4.7,26,https://www.amazon.com/dp/B0D4XZWYZ5,https://m.media-amazon.com/images/I/81xPAX33-wL._AC_UL960_FMwebp_QL65_.jpg,1,9.99,False,False,True,False,300.0,"FREE delivery Wed, Jul 31 on $35 of items shipped by AmazonOr fastest delivery Mon, Jul 29",False,,,,
78,78,B0D99QQ7JL,"TV Antenna-TV Antenna Indoor-TV Antenna for Local Channels,Support TV Antenna for Smart TV Indoor and All Older TV&#x27;s -Signal Booster 15FT Coax HDTV Cable",26.99,29.88,USD,4.8,74460,https://www.amazon.com/dp/B0D99QQ7JL,https://m.media-amazon.com/images/I/71X-Xmr07RL._AC_UL960_FMwebp_QL65_.jpg,1,26.99,False,False,False,False,50.0,FREE delivery on $35 shipped by Amazon.,False,Save $10.00 with coupon,,,
79,79,B0D7LYYWG8,"2024 Newest WiFi Extender, WiFi Repeater, WiFi Booster, Covers Up to 8640 Sq.ft and 60 Devices, Internet Booster - with Ethernet Port, Quick Setup, Home Wireless Signal Booster",16.99,,USD,4.8,101,https://www.amazon.com/dp/B0D7LYYWG8,https://m.media-amazon.com/images/I/51VNco6JUvL._AC_UL960_FMwebp_QL65_.jpg,1,16.99,False,False,True,True,1.0,"FREE delivery Wed, Jul 31 on $35 of items shipped by AmazonOr fastest delivery Mon, Jul 29",False,,,,
80,80,B0D74N1YNK,"Smart Watch (Answer/Make Calls), Ultra Thin 1.43’’ AMOLED Smart Watches for Men Women, 100+ Sport Modes Fitness Tracker with Blood Oxygen/Heart Rate Monitor, IP67, Android IOS(with 2 bands)(Black)",39.99,49.99,USD,4.7,56,https://www.amazon.com/dp/B0D74N1YNK,https://m.media-amazon.com/images/I/81Kf11kINPL._AC_UL960_FMwebp_QL65_.jpg,3,38.39,False,False,True,False,200.0,"FREE delivery Wed, Jul 31 Or fastest delivery Mon, Jul 29",False,,,,
81,81,B0D73DHHV5,"2 Pack USB C to 3.5mm Headphone Jack Adapter, USB Type C to Aux Audio Dongle Cable Cord Compatible with iPhone 15 Plus 15 Pro Max, Samsung Galaxy S23 S24 Ultra, Note 20, iPad Pro, MacBook, Pixel XL",8.99,9.99,USD,4.8,12607,https://www.amazon.com/dp/B0D73DHHV5,https://m.media-amazon.com/images/I/51ZhGHSXOeL._AC_UL960_FMwebp_QL65_.jpg,1,8.99,False,False,True,False,1.0,"FREE delivery Wed, Jul 31 on $35 of items shipped by AmazonOr fastest delivery Mon, Jul 29",False,Save 5% with coupon,,,
82,82,B0D45WN7G9,"ekids Bluey Kids Camera with SD Card, Digital Camera for Kids with Video Camera, Built-in Digital Stickers for Fans of Bluey Toys",29.99,,USD,4.4,6,https://www.amazon.com/dp/B0D45WN7G9,https://m.media-amazon.com/images/I/61dyuPxWQlL._AC_UL960_FMwebp_QL65_.jpg,1,29.99,False,False,True,False,300.0,"FREE delivery Wed, Jul 31 on $35 of items shipped by AmazonOr fastest delivery Mon, Jul 29",False,,,,
83,83,B0D9F79XRT,2 Packs iPhone Headphones Wired with Lightning Connector[MFi Certified](Built-in Microphone &amp; Volume Control)Earbuds support for iPhone 14/13/12/11/XR/XS/X/7/7 Plus/8/8Plus Support All iOS System,12.99,,USD,4.7,14474,https://www.amazon.com/dp/B0D9F79XRT,https://m.media-amazon.com/images/I/51jesM6kBqL._AC_UL960_FMwebp_QL65_.jpg,1,12.99,False,False,True,False,500.0,"FREE delivery Thu, Aug 1 on $35 of items shipped by AmazonOr fastest delivery Mon, Jul 29",False,Save 5% with coupon,,,
84,84,B0D8FQHGR7,"ZHCWM Compatible with Nintendo Switch Controller,Replacement Switch Controllers, Support Dual Vibration/Wake-up/Motion Control,Red/Blue",29.99,31.99,USD,3.5,3,https://www.amazon.com/dp/B0D8FQHGR7,https://m.media-amazon.com/images/I/61c3Dsa56hL._AC_UL960_FMwebp_QL65_.jpg,1,29.99,False,False,True,False,2.0,"FREE delivery Wed, Jul 31 on $35 of items shipped by AmazonOr fastest delivery Mon, Jul 29",False,,,,
85,85,B0D4QV56KG,"CHESONA iPad Pro 11 Inch (M4) 2024 Case with Keyboard, Magnetic Detachable Keyboard, Precise Cutouts Case with Pencil Holder, Type-C Rechargeable, Wireless Folio Keyboard Case for iPad Pro 11&#x27;&#x27;, Black",35.99,,USD,5.0,1,https://www.amazon.com/dp/B0D4QV56KG,https://m.media-amazon.com/images/I/71AQViv+MFL._AC_UL960_FMwebp_QL65_.jpg,1,35.99,False,False,True,False,50.0,"FREE delivery Wed, Jul 31 Or fastest delivery Mon, Jul 29",False,Save 5% with coupon,,,
86,86,B0D66QZQ2Y,"occiam Wireless Earbuds Bluetooth 5.3 Headphones 64H Playback Stereo Ear Buds with Wireless Charging Case in-ear Earphones for Android Phone Laptop,Black",9.99,23.99,USD,4.7,145,https://www.amazon.com/dp/B0D66QZQ2Y,https://m.media-amazon.com/images/I/61VB4I2x+TL._AC_UL960_FMwebp_QL65_.jpg,1,9.99,False,False,True,False,2.0,"FREE delivery Wed, Jul 31 on $35 of items shipped by AmazonOr fastest delivery Mon, Jul 29",False,,,,
87,87,B0D69969V1,"Bluetooth Headset, Wireless Bluetooth Earpiece With 400mAh Charging Case,150 Hours Talktime Hands Free Noise Canceling Headphones for iOS Android Cell Phone, Built-in Mic for Trucker, Office.",24.99,89.99,USD,4.8,9,https://www.amazon.com/dp/B0D69969V1,https://m.media-amazon.com/images/I/61g1Uf6kMeL._AC_UL960_FMwebp_QL65_.jpg,1,24.99,False,False,True,False,200.0,"FREE delivery Wed, Jul 31 on $35 of items shipped by AmazonOr fastest delivery Mon, Jul 29",False,Save 25% with coupon,,,
88,88,B0D87G5RYW,"IMFRCHCS Fitness Tracker, Smart Watch with 1.47&quot; TFT Touch Display, 137+ Sport Modes Activity Tracker with 24/7 Heart Rate Blood Oxygen and Sleep Monitor, IP68 Waterproof Tracker for Women Men Kids",49.99,99.99,USD,4.6,227,https://www.amazon.com/dp/B0D87G5RYW,https://m.media-amazon.com/images/I/61CR44jy1oL._AC_UL960_FMwebp_QL65_.jpg,1,49.99,False,False,True,False,100.0,"FREE delivery Wed, Jul 31 Or fastest delivery Mon, Jul 29",False,Save $20.00 with coupon,,,
89,89,B0D5Z333HL,"64G Magnetic Voice Activated Recorder Device - 4800 Hours Portable Voice Recorder with Playback, 3072Kpbs HD Dual Microphone Tape Voice Recorder with Noise Reduction for Interviews/Meetings/Courses",37.99,,USD,5.0,10,https://www.amazon.com/dp/B0D5Z333HL,https://m.media-amazon.com/images/I/61KtqnshA-L._AC_UL960_FMwebp_QL65_.jpg,1,37.99,False,False,True,False,200.0,"FREE delivery Fri, Aug 9 Or fastest delivery Mon, Jul 29 Only 5 left in stock - order soon.",False,Save 15% with coupon,,,Only 5 left in stock - order soon.
